message,timestamp
,2025-12-05T16:27:39.875633725Z
[35m[Region: us-west1][0m,2025-12-05T16:27:40.540779829Z
[35m=========================,2025-12-05T16:27:40.582802265Z
Using Detected Dockerfile,2025-12-05T16:27:40.582871828Z
=========================,2025-12-05T16:27:40.582878075Z
[0m,2025-12-05T16:27:40.582882892Z
context: 7lkv-UQ0h,2025-12-05T16:27:40.582900564Z
[internal] load build definition from Dockerfile,2025-12-05T16:27:40.842367634Z
[internal] load build definition from Dockerfile,2025-12-05T16:27:40.842435290Z
[internal] load build definition from Dockerfile,2025-12-05T16:27:40.842451123Z
[internal] load build definition from Dockerfile,2025-12-05T16:27:40.854553621Z
[internal] load metadata for docker.io/library/node:20-alpine,2025-12-05T16:27:40.857371070Z
[internal] load metadata for docker.io/library/node:20-alpine,2025-12-05T16:27:41.036997821Z
[internal] load .dockerignore,2025-12-05T16:27:41.037415637Z
[internal] load .dockerignore,2025-12-05T16:27:41.037482675Z
[internal] load .dockerignore,2025-12-05T16:27:41.037584343Z
[internal] load .dockerignore,2025-12-05T16:27:41.052464373Z
[test 2/3] COPY . .,2025-12-05T16:27:41.059326247Z
[test 1/3] RUN npm ci,2025-12-05T16:27:41.059411526Z
[base 7/7] RUN addgroup -g 1001 -S nodejs &&     adduser -S nodejs -u 1001,2025-12-05T16:27:41.059436354Z
[base 6/7] RUN npm ci --only=production && npm cache clean --force,2025-12-05T16:27:41.059447955Z
[base 5/7] RUN pip3 install --break-system-packages semgrep==1.45.0,2025-12-05T16:27:41.059463382Z
[base 4/7] COPY package*.json ./,2025-12-05T16:27:41.059477107Z
[internal] load build context,2025-12-05T16:27:41.059491135Z
[base 3/7] WORKDIR /app,2025-12-05T16:27:41.059503926Z
[base 2/7] RUN apk update && apk upgrade &&     apk add --no-cache     dumb-init     curl     postgresql-client     python3     py3-pip     && rm -rf /var/cache/apk/*,2025-12-05T16:27:41.059517992Z
[base 1/7] FROM docker.io/library/node:20-alpine@sha256:643e7036aa985317ebfee460005e322aa550c6b6883000d01daefb58689a58e2,2025-12-05T16:27:41.059534479Z
[test 3/3] RUN npm run typecheck &&     npm run lint &&     npm run test:coverage,2025-12-05T16:27:41.059568213Z
[base 1/7] FROM docker.io/library/node:20-alpine@sha256:643e7036aa985317ebfee460005e322aa550c6b6883000d01daefb58689a58e2,2025-12-05T16:27:41.059605062Z
[internal] load build context,2025-12-05T16:27:41.059618909Z
[internal] load build context,2025-12-05T16:27:41.059638895Z
[base 1/7] FROM docker.io/library/node:20-alpine@sha256:643e7036aa985317ebfee460005e322aa550c6b6883000d01daefb58689a58e2,2025-12-05T16:27:41.074797271Z
[base 1/7] FROM docker.io/library/node:20-alpine@sha256:643e7036aa985317ebfee460005e322aa550c6b6883000d01daefb58689a58e2,2025-12-05T16:27:41.075097540Z
[internal] load build context,2025-12-05T16:27:41.075121381Z
[base 2/7] RUN apk update && apk upgrade &&     apk add --no-cache     dumb-init     curl     postgresql-client     python3     py3-pip     && rm -rf /var/cache/apk/*,2025-12-05T16:27:41.075676303Z
[internal] load build context,2025-12-05T16:27:41.321487164Z
"v3.23.0-16-gb89cbdef1ba [https://dl-cdn.alpinelinux.org/alpine/v3.23/main]
v3.23.0-21-g94d39960090 [https://dl-cdn.alpinelinux.org/alpine/v3.23/community]
OK: 27555 distinct packages available
",2025-12-05T16:27:41.853762051Z
"OK: 10 MiB in 18 packages
",2025-12-05T16:27:42.406229004Z
"( 1/38) Installing brotli-libs (1.2.0-r0)
",2025-12-05T16:27:43.057277692Z
"( 2/38) Installing c-ares (1.34.5-r0)
",2025-12-05T16:27:43.07487238Z
"( 3/38) Installing libunistring (1.4.1-r0)
",2025-12-05T16:27:43.085514379Z
"( 4/38) Installing libidn2 (2.3.8-r0)
",2025-12-05T16:27:43.106330769Z
"( 5/38) Installing nghttp2-libs (1.68.0-r0)
",2025-12-05T16:27:43.116195702Z
"( 6/38) Installing nghttp3 (1.13.1-r0)
",2025-12-05T16:27:43.125511664Z
"( 7/38) Installing libpsl (0.21.5-r3)
",2025-12-05T16:27:43.134894109Z
"( 8/38) Installing zstd-libs (1.5.7-r2)
",2025-12-05T16:27:43.144510693Z
"( 9/38) Installing libcurl (8.17.0-r1)
",2025-12-05T16:27:43.159480171Z
"(10/38) Installing curl (8.17.0-r1)
",2025-12-05T16:27:43.174487997Z
"(11/38) Installing dumb-init (1.2.5-r3)
",2025-12-05T16:27:43.184845151Z
"(12/38) Installing postgresql-common (1.2-r2)
",2025-12-05T16:27:43.197875042Z
"  Executing postgresql-common-1.2-r2.pre-install
",2025-12-05T16:27:43.205603714Z
"(13/38) Installing lz4-libs (1.10.0-r0)
",2025-12-05T16:27:43.227947639Z
"(14/38) Installing libpq (18.1-r0)
",2025-12-05T16:27:43.23841944Z
"(15/38) Installing ncurses-terminfo-base (6.5_p20251123-r0)
",2025-12-05T16:27:43.250164772Z
"(16/38) Installing libncursesw (6.5_p20251123-r0)
",2025-12-05T16:27:43.26238218Z
"(17/38) Installing readline (8.3.1-r0)
",2025-12-05T16:27:43.274347167Z
"(18/38) Installing postgresql18-client (18.1-r0)
",2025-12-05T16:27:43.285035478Z
"(19/38) Installing libbz2 (1.0.8-r6)
",2025-12-05T16:27:43.322662293Z
"(20/38) Installing libexpat (2.7.3-r0)
",2025-12-05T16:27:43.331588509Z
"(21/38) Installing libffi (3.5.2-r0)
",2025-12-05T16:27:43.340812504Z
"(22/38) Installing gdbm (1.26-r0)
",2025-12-05T16:27:43.349160232Z
"(23/38) Installing xz-libs (5.8.1-r0)
",2025-12-05T16:27:43.357870213Z
"(24/38) Installing mpdecimal (4.0.1-r0)
",2025-12-05T16:27:43.368450081Z
"(25/38) Installing libpanelw (6.5_p20251123-r0)
",2025-12-05T16:27:43.378049944Z
"(26/38) Installing sqlite-libs (3.51.1-r0)
",2025-12-05T16:27:43.38620023Z
"(27/38) Installing python3 (3.12.12-r0)
",2025-12-05T16:27:43.41068062Z
"(28/38) Installing python3-pycache-pyc0 (3.12.12-r0)
",2025-12-05T16:27:43.61617363Z
"(29/38) Installing pyc (3.12.12-r0)
(30/38) Installing py3-setuptools-pyc (80.9.0-r2)
",2025-12-05T16:27:43.737671134Z
"(31/38) Installing py3-pip-pyc (25.1.1-r1)
",2025-12-05T16:27:43.803828482Z
"(32/38) Installing py3-packaging-pyc (25.0-r0)
",2025-12-05T16:27:43.880393257Z
"(33/38) Installing python3-pyc (3.12.12-r0)
(34/38) Installing py3-parsing (3.2.3-r0)
",2025-12-05T16:27:43.892035306Z
"(35/38) Installing py3-parsing-pyc (3.2.3-r0)
",2025-12-05T16:27:43.904313006Z
"(36/38) Installing py3-packaging (25.0-r0)
",2025-12-05T16:27:43.91893109Z
"(37/38) Installing py3-setuptools (80.9.0-r2)
",2025-12-05T16:27:43.930220538Z
"(38/38) Installing py3-pip (25.1.1-r1)
",2025-12-05T16:27:43.991118589Z
"Executing busybox-1.37.0-r29.trigger
",2025-12-05T16:27:44.062601185Z
"Executing postgresql-common-1.2-r2.trigger
",2025-12-05T16:27:44.070369582Z
"* Setting postgresql18 as the default version
",2025-12-05T16:27:44.075781322Z
"OK: 75 MiB in 56 packages
",2025-12-05T16:27:44.633288836Z
[base 2/7] RUN apk update && apk upgrade &&     apk add --no-cache     dumb-init     curl     postgresql-client     python3     py3-pip     && rm -rf /var/cache/apk/*,2025-12-05T16:27:44.722953442Z
[base 3/7] WORKDIR /app,2025-12-05T16:27:44.724694948Z
[base 3/7] WORKDIR /app,2025-12-05T16:27:44.760338215Z
[base 4/7] COPY package*.json ./,2025-12-05T16:27:44.761717257Z
[base 4/7] COPY package*.json ./,2025-12-05T16:27:44.786427260Z
[base 5/7] RUN pip3 install --break-system-packages semgrep==1.45.0,2025-12-05T16:27:44.788300912Z
"Collecting semgrep==1.45.0
",2025-12-05T16:27:45.575270928Z
"  Downloading semgrep-1.45.0-cp37.cp38.cp39.cp310.cp311.py37.py38.py39.py310.py311-none-any.whl.metadata (17 kB)
",2025-12-05T16:27:45.61949172Z
"Collecting attrs>=21.3 (from semgrep==1.45.0)
",2025-12-05T16:27:45.653735909Z
"  Downloading attrs-25.4.0-py3-none-any.whl.metadata (10 kB)
",2025-12-05T16:27:45.663607567Z
"Collecting boltons~=21.0 (from semgrep==1.45.0)
",2025-12-05T16:27:45.699505607Z
"  Downloading boltons-21.0.0-py2.py3-none-any.whl.metadata (1.5 kB)
",2025-12-05T16:27:45.710102349Z
"Collecting click-option-group~=0.5 (from semgrep==1.45.0)
",2025-12-05T16:27:45.736811239Z
"  Downloading click_option_group-0.5.9-py3-none-any.whl.metadata (5.8 kB)
",2025-12-05T16:27:45.746512146Z
"Collecting click~=8.1 (from semgrep==1.45.0)
",2025-12-05T16:27:45.782355787Z
"  Downloading click-8.3.1-py3-none-any.whl.metadata (2.6 kB)
",2025-12-05T16:27:45.792491237Z
"Collecting colorama~=0.4.0 (from semgrep==1.45.0)
",2025-12-05T16:27:45.823070654Z
"  Downloading colorama-0.4.6-py2.py3-none-any.whl.metadata (17 kB)
",2025-12-05T16:27:45.83276991Z
"Collecting defusedxml~=0.7.1 (from semgrep==1.45.0)
",2025-12-05T16:27:45.859145901Z
"  Downloading defusedxml-0.7.1-py2.py3-none-any.whl.metadata (32 kB)
",2025-12-05T16:27:45.868457359Z
"Collecting glom~=22.1 (from semgrep==1.45.0)
",2025-12-05T16:27:45.905684515Z
"  Downloading glom-22.1.0-py2.py3-none-any.whl.metadata (4.9 kB)
",2025-12-05T16:27:45.915261191Z
"Collecting jsonschema~=4.6 (from semgrep==1.45.0)
",2025-12-05T16:27:45.99021014Z
"  Downloading jsonschema-4.25.1-py3-none-any.whl.metadata (7.6 kB)
",2025-12-05T16:27:45.999838251Z
"Requirement already satisfied: packaging>=21.0 in /usr/lib/python3.12/site-packages (from semgrep==1.45.0) (25.0)
",2025-12-05T16:27:46.010020116Z
"Collecting peewee~=3.14 (from semgrep==1.45.0)
",2025-12-05T16:27:46.058327692Z
"  Downloading peewee-3.18.3.tar.gz (3.0 MB)
",2025-12-05T16:27:46.069588241Z
     ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 3.0/3.0 MB 79.6 MB/s eta 0:00:00,2025-12-05T16:27:46.121176953Z
"
",2025-12-05T16:27:46.121400254Z
"  Installing build dependencies: started
",2025-12-05T16:27:46.412210265Z
"  Installing build dependencies: finished with status 'done'
",2025-12-05T16:27:47.69120118Z
"  Getting requirements to build wheel: started
",2025-12-05T16:27:47.692270544Z
"  Getting requirements to build wheel: finished with status 'done'
",2025-12-05T16:27:48.331717141Z
"  Preparing metadata (pyproject.toml): started
",2025-12-05T16:27:48.332997633Z
"  Preparing metadata (pyproject.toml): finished with status 'done'
",2025-12-05T16:27:48.66474421Z
"Collecting python-lsp-jsonrpc~=1.0.0 (from semgrep==1.45.0)
",2025-12-05T16:27:48.683920302Z
"  Downloading python_lsp_jsonrpc-1.0.0-py3-none-any.whl.metadata (1.4 kB)
",2025-12-05T16:27:48.694746917Z
"Collecting requests~=2.22 (from semgrep==1.45.0)
",2025-12-05T16:27:48.743022683Z
"  Downloading requests-2.32.5-py3-none-any.whl.metadata (4.9 kB)
",2025-12-05T16:27:48.752804666Z
"Collecting rich>=12.6.0 (from semgrep==1.45.0)
",2025-12-05T16:27:48.815668032Z
"  Downloading rich-14.2.0-py3-none-any.whl.metadata (18 kB)
",2025-12-05T16:27:48.825332358Z
"Collecting ruamel.yaml<0.18,>=0.16.0 (from semgrep==1.45.0)
",2025-12-05T16:27:49.056398164Z
"  Downloading ruamel.yaml-0.17.40-py3-none-any.whl.metadata (19 kB)
",2025-12-05T16:27:49.06699623Z
"Collecting tomli~=2.0.1 (from semgrep==1.45.0)
",2025-12-05T16:27:49.10198926Z
"  Downloading tomli-2.0.2-py3-none-any.whl.metadata (10.0 kB)
",2025-12-05T16:27:49.111718005Z
"Collecting typing-extensions~=4.2 (from semgrep==1.45.0)
",2025-12-05T16:27:49.149423379Z
"  Downloading typing_extensions-4.15.0-py3-none-any.whl.metadata (3.3 kB)
",2025-12-05T16:27:49.15909393Z
"Collecting urllib3~=1.26 (from semgrep==1.45.0)
",2025-12-05T16:27:49.203211897Z
"  Downloading urllib3-1.26.20-py2.py3-none-any.whl.metadata (50 kB)
",2025-12-05T16:27:49.212944097Z
"Collecting wcmatch~=8.3 (from semgrep==1.45.0)
",2025-12-05T16:27:49.256451136Z
"  Downloading wcmatch-8.5.2-py3-none-any.whl.metadata (4.8 kB)
",2025-12-05T16:27:49.266098892Z
"Collecting face>=20.1.0 (from glom~=22.1->semgrep==1.45.0)
",2025-12-05T16:27:49.310462698Z
"  Downloading face-24.0.0-py3-none-any.whl.metadata (1.1 kB)
",2025-12-05T16:27:49.320151833Z
"Collecting jsonschema-specifications>=2023.03.6 (from jsonschema~=4.6->semgrep==1.45.0)
",2025-12-05T16:27:49.351101834Z
"  Downloading jsonschema_specifications-2025.9.1-py3-none-any.whl.metadata (2.9 kB)
",2025-12-05T16:27:49.360874486Z
"Collecting referencing>=0.28.4 (from jsonschema~=4.6->semgrep==1.45.0)
",2025-12-05T16:27:49.405611051Z
"  Downloading referencing-0.37.0-py3-none-any.whl.metadata (2.8 kB)
",2025-12-05T16:27:49.415380946Z
"Collecting rpds-py>=0.7.1 (from jsonschema~=4.6->semgrep==1.45.0)
",2025-12-05T16:27:49.852159955Z
"  Downloading rpds_py-0.30.0-cp312-cp312-musllinux_1_2_x86_64.whl.metadata (4.1 kB)
",2025-12-05T16:27:49.861927209Z
"Collecting ujson>=3.0.0 (from python-lsp-jsonrpc~=1.0.0->semgrep==1.45.0)
",2025-12-05T16:27:49.958812242Z
"  Downloading ujson-5.11.0-cp312-cp312-musllinux_1_2_x86_64.whl.metadata (9.4 kB)
",2025-12-05T16:27:49.970144436Z
"Collecting charset_normalizer<4,>=2 (from requests~=2.22->semgrep==1.45.0)
",2025-12-05T16:27:50.170597132Z
"  Downloading charset_normalizer-3.4.4-cp312-cp312-musllinux_1_2_x86_64.whl.metadata (37 kB)
",2025-12-05T16:27:50.180893557Z
"Collecting idna<4,>=2.5 (from requests~=2.22->semgrep==1.45.0)
",2025-12-05T16:27:50.221674443Z
"  Downloading idna-3.11-py3-none-any.whl.metadata (8.4 kB)
",2025-12-05T16:27:50.232077783Z
"Collecting certifi>=2017.4.17 (from requests~=2.22->semgrep==1.45.0)
",2025-12-05T16:27:50.299192283Z
"  Downloading certifi-2025.11.12-py3-none-any.whl.metadata (2.5 kB)
",2025-12-05T16:27:50.309281562Z
"Collecting ruamel.yaml.clib>=0.2.7 (from ruamel.yaml<0.18,>=0.16.0->semgrep==1.45.0)
",2025-12-05T16:27:50.377303377Z
"  Downloading ruamel_yaml_clib-0.2.15-cp312-cp312-musllinux_1_2_x86_64.whl.metadata (3.5 kB)
",2025-12-05T16:27:50.387461408Z
"Collecting bracex>=2.1.1 (from wcmatch~=8.3->semgrep==1.45.0)
",2025-12-05T16:27:50.422163229Z
"  Downloading bracex-2.6-py3-none-any.whl.metadata (3.6 kB)
",2025-12-05T16:27:50.432371124Z
"Collecting markdown-it-py>=2.2.0 (from rich>=12.6.0->semgrep==1.45.0)
",2025-12-05T16:27:50.504082382Z
